liczbaPodzialow,funkcja,bladTrapezow,bladSimpsona,bladCSI
1,1,0.5927708281702149,0.025185826879199014,0.5927708281702149
1,2,0.014263966374765319,6.022148607504052E-5,0.014263966374765319
1,3,0.2817181715409549,0.0011586468350954782,0.2817181715409549
11,1,0.004116660757059631,1.2770684751917116E-6,0.004083032527597452
11,2,1.1592106235727706E-4,3.9922041783491125E-9,1.1501529792845577E-4
11,3,0.00236645343950892,8.148062580204396E-8,0.002348260135436764
21,1,0.0011284975588778945,9.598632899621151E-8,0.0011259515087541638
21,2,3.1802826460675115E-5,3.004891058200343E-10,3.1732757564711944E-5
21,3,6.493639051852185E-4,6.135152386121945E-9,6.479456423456043E-4
31,1,5.177687769640782E-4,2.020677503100643E-8,5.172317036380436E-4
31,2,1.4593922629896339E-5,6.327666168814972E-11,1.4579027647593223E-5
31,3,2.9799723013512747E-4,1.2920273739780441E-9,2.976948952149172E-4
41,1,2.9598008498565864E-4,6.603230850998898E-9,2.9580441644816435E-4
41,2,8.343043108094417E-6,2.0680013257390328E-11,8.338151832876228E-6
41,3,1.7036137144677E-4,4.2226933061328964E-10,1.7026194544511597E-4
51,1,1.912828978446468E-4,2.757952199949898E-9,1.9120948845208208E-4
51,2,5.392005490434393E-6,8.637868198491105E-12,5.3899565534143434E-6
51,3,1.1010321787674471E-4,1.7637891147614937E-10,1.1006153178794165E-4
61,1,1.3370550398339454E-4,1.3475182081279513E-9,1.3366962456051734E-4
61,2,3.769034998851728E-6,4.220457316961301E-12,3.76803193530284E-6
61,3,7.696291911685194E-5,8.61812843311327E-11,7.69424993691814E-5
71,1,9.869330060163772E-5,7.341962593443441E-10,9.86737470972665E-5
71,2,2.782099341791522E-6,2.2996049509060867E-12,2.781552054714753E-6
71,3,5.681002934210255E-5,4.695488442507667E-11,5.679888321097337E-5
81,1,7.58283033849283E-5,4.334113068438228E-10,7.58167585663827E-5
81,2,2.1375631823472574E-6,1.3574974477847945E-12,2.1372397669139342E-6
81,3,4.3648769586734915E-5,2.772049256805076E-11,4.364218074259796E-5
91,1,6.0078147076758626E-5,2.7206481512109804E-10,6.0070899131181577E-5
91,2,1.6935810457641143E-6,8.523182160047327E-13,1.6933778632655105E-6
91,3,3.4582747056255414E-5,1.7398971152715603E-11,3.4578606609159124E-5
101,1,4.877026171334897E-5,1.792864745553402E-10,4.876548490961863E-5
101,2,1.3748200496932483E-6,5.615508058554042E-13,1.3746860669516803E-6
101,3,2.8073702269981737E-5,1.1466827487538467E-11,2.8070971426430447E-5
111,1,4.0378555390074844E-5,1.2289658180009155E-10,4.0375280737303676E-5
111,2,1.1382627534139989E-6,3.848588114863105E-13,1.1381708619473407E-6
111,3,2.3243236535464007E-5,7.859934925136258E-12,2.3241363308112994E-5
121,1,3.398013941635636E-5,8.703393561404482E-11,3.39778201847718E-5
121,2,9.578944319965643E-7,2.726152636967072E-13,9.578293266865323E-7
121,3,1.9560137884067075E-5,5.567990513100085E-12,1.955881048587571E-5
131,1,2.899029617753346E-5,6.334954782971636E-11,2.898860797417857E-5
131,2,8.17232680777602E-7,1.9839685450051547E-13,8.171852741156727E-7
131,3,1.6687840253659658E-5,4.054090396721222E-12,1.668687360911747E-5
141,1,2.5023986608307958E-5,4.720057678042622E-11,2.5022728685097917E-5
141,2,7.054236794146185E-7,1.4777068457760834E-13,7.053883457897037E-7
141,3,1.4404711265569858E-5,3.0171420917213254E-12,1.4403990724165538E-5
151,1,2.1819279726775775E-5,3.588551678035401E-11,2.18183233235969E-5
151,2,6.150838411933535E-7,1.1238232566768147E-13,6.15056970493244E-7
151,3,1.2559979623461004E-5,2.2963853041346738E-12,1.2559431624037387E-5
161,1,1.9192971069670328E-5,2.7766677845875165E-11,1.9192231020981332E-5
161,2,5.410487800838748E-7,8.70692407062279E-14,5.41027983358422E-7
161,3,1.1048189521023488E-5,1.7741363933510002E-12,1.1047765369642804E-5
171,1,1.7013805144183713E-5,2.181876901374835E-11,1.7013223587269977E-5
171,2,4.796184947808424E-7,6.816769371198461E-14,4.796021495778735E-7
171,3,9.79378754362159E-6,1.3935519405094965E-12,9.793454125439638E-6
181,1,1.518575141179479E-5,1.7382206785043763E-11,1.5185288103292116E-5
181,2,4.280859420557892E-7,5.440092820663267E-14,4.2807291822377636E-7
181,3,8.741496260622483E-6,1.1093348462054564E-12,8.74123057359455E-6
191,1,1.3637240474206891E-5,1.4017786931219689E-11,1.3636866824762173E-5
191,2,3.844336179947838E-7,4.388156504830931E-14,3.844231132865694E-7
191,3,7.85011852544315E-6,8.966161146872764E-13,7.849904201329139E-6
201,1,1.231405092072535E-5,1.1430190127725837E-11,1.2313746255876445E-5
201,2,3.4713304625233476E-7,3.5915714846623814E-14,3.4712447991025464E-7
201,3,7.088443025882185E-6,7.296385717836529E-13,7.088268235033723E-6
211,1,1.1174497435595399E-5,9.412359780469615E-12,1.1174246541512112E-5
211,2,3.1500913405535513E-7,2.9476421303797906E-14,3.150020778108775E-7
211,3,6.432474507267472E-6,6.02629057766535E-13,6.432330581507273E-6
221,1,1.0186107001763922E-5,7.820522007762065E-12,1.018589852896934E-5
221,2,2.871464795106693E-7,2.4702462297909733E-14,2.871406157012313E-7
221,3,5.863520545990042E-6,5.03597163969971E-13,5.863400910577354E-6
231,1,9.323279597794887E-6,6.551648112917974E-12,9.323104943281812E-6
231,2,2.628234252455286E-7,2.067790383364354E-14,2.6281851270293366E-7
231,3,5.366844986198771E-6,4.18332035678759E-13,5.366744733947826E-6
241,1,8.565613694777596E-6,5.530909064077605E-12,8.565466273369182E-6
241,2,2.41464858413698E-7,1.7208456881689926E-14,2.414607120082568E-7
241,3,4.93070405971352E-6,3.5482727867020003E-13,4.930619432741423E-6
251,1,7.896689078412678E-6,4.7010173531703E-12,7.896563781528698E-6
251,2,2.2260789722672314E-7,1.4654943925052066E-14,2.226043716579973E-7
251,3,4.545645768683215E-6,2.993161274389422E-13,4.545573839553896E-6
261,1,7.3031696492531495E-6,4.020450639075079E-12,7.3030624735404E-6
261,2,2.0587659965709548E-7,1.2684298056342413E-14,2.0587358309787085E-7
261,3,4.203993403617545E-6,2.55351295663786E-13,4.203931878166145E-6
271,1,6.774133526121773E-6,3.4594549447319878E-12,6.7740413191019755E-6
271,2,1.9096308051524957E-7,1.0907941216942163E-14,1.9096048600730775E-7
271,3,3.899459970924113E-6,2.2248869413488137E-13,3.899406997298627E-6
281,1,6.300566979478006E-6,2.992939229784497E-12,6.300487213173334E-6
281,2,1.7761324419551805E-7,9.547918011776346E-15,1.776110009898968E-7
