liczbaPodzialow,funkcja,bladTrapezow,bladSimpsona,bladCSI
1,1,2.235510932118462,0.0026342447393533502,2.235510932118462
1,2,0.03896220172791193,1.6449573892457492E-4,0.03896220172791193
1,3,0.08894223792362457,0.0197773784683693,0.08894223792362457
11,1,0.013046813856626205,4.177922903451925E-5,0.012921821157996477
11,2,3.1663982495555576E-4,1.0904755542995304E-8,3.141897347055389E-4
11,3,1.928897498938431E-4,3.82716691310625E-7,1.907318341073383E-4
21,1,0.003546455819012209,3.1091852964737487E-6,0.0035375927697211262
21,2,8.686981639766111E-5,8.207898249956713E-10,8.667943967199943E-5
21,3,5.2619578175955306E-5,2.8692571069077744E-8,5.247718107101451E-5
31,1,0.0016243674338336928,6.531969997530807E-7,0.0016225526760971498
31,2,3.9863481346436025E-5,1.7284101927472761E-10,3.982294416210452E-5
31,3,2.4118459506644596E-5,6.037148309046003E-9,2.4090016654487734E-5
41,1,9.279839915111998E-4,2.132945202820702E-7,9.274002620540955E-4
41,2,2.278912611414219E-5,5.648753687026442E-11,2.2775802710206516E-5
41,3,1.3782211715773762E-5,1.9724659683362233E-9,1.3773178895060134E-5
51,1,5.995515630690257E-4,8.905470534614768E-8,5.993102249135795E-4
51,2,1.4728330123281452E-5,2.3594237674728902E-11,1.472274599906287E-5
51,3,8.905500221145779E-6,8.237608928318707E-10,8.901794752408376E-6
61,1,4.1901495884325013E-4,4.350313433099107E-8,4.1889787428187053E-4
61,2,1.0295166020857227E-5,1.15283338431027E-11,1.029243130118429E-5
61,3,6.224301581370106E-6,4.024647837219675E-10,6.222513365766735E-6
71,1,3.0926107466823505E-4,2.3699930865039853E-8,3.0919761244532773E-4
71,2,7.599338986974402E-6,6.2815863621779044E-12,7.597846490792204E-6
71,3,4.594139555363919E-6,2.1927687443579202E-10,4.5931740005888955E-6
81,1,2.375970655424664E-4,1.3989481212339783E-8,2.37559751746802E-4
81,2,5.838780443800928E-6,3.7080893910967916E-12,5.837898288396648E-6
81,3,3.5296499165671236E-6,1.2944084692989577E-10,3.529083836939506E-6
91,1,1.8823790371313986E-4,8.781108534750004E-9,1.8821455464770875E-4
91,2,4.626037710009356E-6,2.327860126882797E-12,4.625483420062082E-6
91,3,2.7964409474445784E-6,8.125244921330932E-11,2.796087526263369E-6
101,1,1.5280299275499676E-4,5.7864237984484035E-9,1.5278764532247746E-4
101,2,3.7553380810018133E-6,1.53405066427581E-12,3.7549725243612997E-6
101,3,2.2700540043552042E-6,5.3543919298348897E-11,2.2698221205097457E-6
111,1,1.2650780777721804E-4,3.966336439842344E-9,1.2649730973327E-4
111,2,3.1091788814663346E-6,1.0516587600761795E-12,3.1089281408158698E-6
111,3,1.8794290204959818E-6,3.670272419320497E-11,1.879270642601849E-6
121,1,1.064593758765553E-4,2.8088539549830926E-9,1.0645195448691358E-4
121,2,2.6165005658773666E-6,7.444600491623987E-13,2.6163229015496725E-6
121,3,1.5815967709664758E-6,2.5992041852163084E-11,1.581484949331191E-6
131,1,9.082498485260548E-5,2.0444520382190134E-9,9.081959120907368E-5
131,2,2.2322812414654614E-6,5.419553694707702E-13,2.232151863956755E-6
131,3,1.3493348166582209E-6,1.891894974015429E-11,1.3492536337367245E-6
141,1,7.839788559849126E-5,1.5232777955676013E-9,7.839387211186488E-5
141,2,1.926873562263509E-6,4.037326029049382E-13,1.9267771280695456E-6
141,3,1.1647179270213304E-6,1.4096557254816844E-11,1.1646575734935993E-6
151,1,6.83572145719763E-5,1.1580893882756627E-9,6.835416670572525E-5
151,2,1.680109169732713E-6,3.0692115515762453E-13,1.680035827567039E-6
151,3,1.0155525434207835E-6,1.071714939016033E-11,1.0155067469708179E-6
161,1,6.012885828460268E-5,8.96070592726339E-10,6.012650234146766E-5
161,2,1.4778814786398087E-6,2.379763053284023E-13,1.4778247135471823E-6
161,3,8.933102847441532E-7,8.29247781553022E-12,8.932749087087188E-7
171,1,5.3301514533504735E-5,7.04137831375462E-10,5.329966484748927E-5
171,2,1.310083889427549E-6,1.8673951274195133E-13,1.3100392735609923E-6
171,3,7.918812036100675E-7,6.5161764872812E-12,7.918534483952744E-7
181,1,4.7574272370953796E-5,5.609508690884724E-10,4.7572799983158776E-5
181,2,1.1693220799413595E-6,1.4876988529977098E-13,1.1692865281021092E-6
181,3,7.067951644790238E-7,5.1910697962398444E-12,7.067730815879525E-7
191,1,4.272287604890901E-5,4.5237921741936304E-10,4.2721689464092494E-5
191,2,1.0500852135053584E-6,1.1984857550828565E-13,1.050056538887123E-6
191,3,6.347207316403924E-7,4.186762048163928E-12,6.347029467279608E-7
201,1,3.8577432140279866E-5,3.6884977017148657E-10,3.8576465275302896E-5
201,2,9.481982372050446E-7,9.786615962070755E-14,9.481748522999212E-7
201,3,5.731340247117078E-7,3.4131586446051188E-12,5.731195370228814E-7
211,1,3.5007329566738576E-5,3.0373945025807814E-10,3.500653383128882E-5
211,2,8.60451371598181E-7,8.087974734394265E-14,8.604321066196796E-7
211,3,5.200947121586363E-7,2.8109459204728182E-12,5.200827921936213E-7
221,1,3.19108235939114E-5,2.523835446188727E-10,3.191016275597147E-5
221,2,7.843441832133813E-7,6.722400414105323E-14,7.843281767949684E-7
221,3,4.740912842582379E-7,2.3361312884162544E-12,4.740813909775987E-7
231,1,2.920770522406302E-5,2.1143665984713067E-10,2.920715184465128E-5
231,2,7.179054577477473E-7,5.617728504603292E-14,7.178920471417882E-7
231,3,4.3393215573561683E-7,1.9566293030237603E-12,4.3392387574781033E-7
241,1,2.683405400817629E-5,1.7846765731910352E-10,2.6833587155633554E-5
241,2,6.595642664808388E-7,4.779510121011299E-14,6.595529453146121E-7
241,3,3.986677198086763E-7,1.6520951273690798E-12,3.986607355066507E-7
251,1,2.47384240385784E-5,1.516811815038821E-10,2.4738027403797824E-5
251,2,6.080562422461355E-7,4.013456234019941E-14,6.080466185554023E-7
251,3,3.675336882336122E-7,1.404210081545898E-12,3.675277546744127E-7
261,1,2.2879032601202942E-5,1.2973687402162426E-10,2.28786934921843E-5
261,2,5.623544946931069E-7,3.480549182199866E-14,5.623462595583106E-7
261,3,3.399093267131281E-7,1.2005951788296443E-12,3.399042539098396E-7
271,1,2.122166118401214E-5,1.116215730956327E-10,2.1221369501805976E-5
271,2,5.216180314349117E-7,2.9753977059954195E-14,5.216109517647283E-7
271,3,3.152862781408139E-7,1.0330347688380925E-12,3.1528192015461975E-7
281,1,1.9738069764393962E-5,9.656093979959479E-11,1.9737817531090274E-5
281,2,4.851527875548989E-7,2.55351295663786E-14,4.851466593458476E-7
281,3,2.9324499906113743E-7,8.934797346427104E-13,2.932412277445451E-7
291,1,1.840478580314442E-5,8.395563411145446E-11,1.840456657345446E-5
291,2,4.5238186535678793E-7,2.220446049250313E-14,4.5237653828467117E-7
291,3,2.7343677175273307E-7,7.774891841449971E-13,2.734334949017203E-7
301,1,1.720217004705371E-5,7.334252649648931E-11,1.7201978585817956E-5
301,2,4.2282257639580934E-7,1.9262369477246466E-14,4.2281791901022103E-7
301,3,2.555698289108399E-7,6.787626016802051E-13,2.555669680326389E-7
311,1,1.6113689132138398E-5,6.435506294533155E-11,1.6113521160959765E-5
311,2,3.9606856577778515E-7,1.7041923427996153E-14,3.960644845424355E-7
311,3,2.393985431836665E-7,5.95745675013859E-13,2.3939603713274415E-7
